"id","period","stage","possession","run_type","minute","min_speed","max_speed","distance","player_appearance_id"
703325,"half_1","top",2345,"hsr",26,"5.52","5.71","4.967408695652174",40764
703332,"half_1","bottom",2345,"hsr",37,"5.56","6.99","7.128606896551725",40764
703314,"half_1","middle",2345,"hsr",5,"4.07","6.9","34.62718814814815",40764
703315,"half_1","middle",2344,"hsr",7,"5.56","7.56","11.449336363636363",40764
703316,"half_1","middle",2344,"hsr",8,"4.07","6.62","20.511065060240966",40764
703317,"half_1","middle",2345,"hsr",8,"5.51","5.58","17.111769230769227",40764
703318,"half_1","bottom",2345,"hsr",10,"5.51","6.15","37.10555471698113",40764
703319,"half_1","middle",2345,"hsr",13,"5.53","5.86","7.118762499999999",40764
703320,"half_1","top",2344,"hsr",14,"4.03","6.29","10.591288888888887",40764
703321,"half_1","middle",2345,"hsr",15,"5.53","6.79","17.439257142857137",40764
703322,"half_1","bottom",2345,"hsr",20,"5.51","5.61","6.9133875",40764
703323,"half_1","bottom",2344,"sprint",17,"5.59","7.98","16.19842909090909",40764
703324,"half_1","bottom",2345,"hsr",19,"5.51","5.97","7.666870588235294",40764
703326,"half_1","middle",2345,"hsr",30,"5.52","6.12","9.92567441860465",40764
703327,"half_1","bottom",2345,"hsr",33,"5.52","5.97","12.299925925925924",40764
703328,"half_1","top",2345,"hsr",37,"5.53","7","8.997664864864864",40764
703329,"half_1","middle",2345,"sprint",37,"7.02","7.45","11.670243902439024",40764
703330,"half_1","middle",2345,"hsr",37,"6.6","7","8.91155294117647",40764
703331,"half_1","middle",2345,"sprint",37,"7.01","7.49","27.66937731958763",40764
703333,"half_1","bottom",2344,"hsr",37,"4.03","6.56","13.85774035087719",40764
703334,"half_1","middle",2344,"hsr",45,"5.53","5.81","4.797927272727272",40764
703335,"half_2","middle",2345,"hsr",3,"4.07","6.99","7.106593103448275",40764
703336,"half_2","middle",2345,"hsr",2,"4.04","6.86","15.62938064516129",40764
703337,"half_2","bottom",2345,"hsr",2,"4.07","6.7","12.849646153846152",40764
703338,"half_2","middle",2345,"sprint",3,"7.01","7.49","18.467268750000002",40764
703339,"half_2","middle",2345,"hsr",3,"5.53","6.98","7.075310344827586",40764
703340,"half_2","bottom",2344,"hsr",5,"5.51","6.03","13.7824",40764
703341,"half_2","top",2345,"hsr",6,"5.51","5.68","5.397119999999998",40764
703342,"half_2","middle",2344,"hsr",10,"4.1","6.98","5.08",40764
703343,"half_2","middle",2345,"sprint",10,"7.02","7.29","7.764042857142857",40764
703344,"half_2","middle",2345,"hsr",10,"5.54","6.98","7.2875066666666655",40764
703345,"half_2","middle",2345,"hsr",11,"5.51","5.92","14.342666666666668",40764
703346,"half_2","middle",2344,"hsr",22,"4.07","5.98","9.306536585365853",40764
739499,"half_1","bottom",2412,"sprint",38,"7.01","7.05","5.627428571428571",42220
739538,"half_2","bottom",2412,"hsr",46,"5.6","7","5.376381818181817",42220
739488,"half_1","bottom",2413,"hsr",21,"5.51","5.66","7.401705882352941",42220
739507,"half_2","bottom",2412,"sprint",2,"7.02","7.31","11.24214",42220
739508,"half_2","bottom",2413,"hsr",2,"5.56","6.99","7.917787499999999",42220
739509,"half_2","bottom",2412,"hsr",2,"5.51","5.66","4.487238095238095",42220
739505,"half_2","middle",2412,"hsr",5,"5.54","6.98","29.699112605042025",42220
739506,"half_2","middle",2412,"hsr",2,"4.02","7","7.898412499999999",42220
739475,"half_1","bottom",2412,"sprint",3,"7.02","8.73","25.2629164556962",42220
739476,"half_1","bottom",2413,"hsr",1,"5.54","7","8.300858823529412",42220
