player_appearance_id,player_id,fixture_id,date,checkpoint,checkpoint_period,checkpoint_min,position,is_home,formation,minute_in,minute_out,subbed,jersey_number,last15_sprints,last15_hsr,last15_distance,last15_mean_max_speed,last15_peak_speed,last15_shots,last15_shots_on_target,last15_shots_under_press,last15_shots_top_third,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third,scored_after
39421,2702,1159,2025-06-11,H1_15,half_1,15,G,TRUE,4-1-4-1,1,90,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39422,2732,1159,2025-06-11,H1_15,half_1,15,D,TRUE,4-1-4-1,1,90,FALSE,2,2,5,68.15,6.806,7.46,0,0,0,0,2,5,68.15,6.806,7.46,0,0,0,0,0
39423,3296,1159,2025-06-11,H1_15,half_1,15,D,TRUE,4-1-4-1,1,90,FALSE,4,2,4,68.49,7.165,7.87,0,0,0,0,2,4,68.49,7.165,7.87,0,0,0,0,0
39424,3297,1159,2025-06-11,H1_15,half_1,15,D,TRUE,4-1-4-1,1,90,FALSE,5,1,5,80.36,6.873,8.95,0,0,0,0,1,5,80.36,6.873,8.95,0,0,0,0,0
39425,3298,1159,2025-06-11,H1_15,half_1,15,A,TRUE,4-1-4-1,1,75,TRUE,6,4,15,183.3,6.533,7.68,0,0,0,0,4,15,183.3,6.533,7.68,0,0,0,0,0
39426,3299,1159,2025-06-11,H1_15,half_1,15,M,TRUE,4-1-4-1,1,87,TRUE,7,4,9,138.44,6.866,8.45,0,0,0,0,4,9,138.44,6.866,8.45,0,0,0,0,1
39429,3302,1159,2025-06-11,H1_15,half_1,15,M,TRUE,4-1-4-1,1,90,FALSE,10,0,8,153.41,6.522,7.13,0,0,0,0,0,8,153.41,6.522,7.13,0,0,0,0,0
39431,3303,1159,2025-06-11,H1_15,half_1,15,M,TRUE,4-1-4-1,1,80,TRUE,15,4,10,249.47,7.041,9.88,0,0,0,0,4,10,249.47,7.041,9.88,0,0,0,0,0
39433,2713,1159,2025-06-11,H1_15,half_1,15,M,TRUE,4-1-4-1,1,87,TRUE,18,2,10,159.45,6.725,7.79,0,0,0,0,2,10,159.45,6.725,7.79,0,0,0,0,0
39435,2695,1159,2025-06-11,H1_15,half_1,15,D,TRUE,4-1-4-1,1,90,FALSE,21,2,9,103.61,6.639,7.77,0,0,0,0,2,9,103.61,6.639,7.77,0,0,0,0,1
