position,minute_in,last15_sprints,last15_hsr,last15_distance,last15_mean_max_speed,last15_peak_speed,last15_shots,last15_shots_on_target,last15_shots_under_press,last15_shots_top_third,cumul_sprints,cumul_hsr,cumul_distance,cumul_mean_max_speed,cumul_peak_speed,cumul_shots,cumul_shots_on_target,cumul_shots_under_press,cumul_shots_top_third,last15_received_passes,cumul_received_passes,last15_action_accuracy,cumul_action_accuracy,last15_average_angle,cumul_average_angle,last15_sprint_dist,cumul_sprint_dist,last15_sprint_ratio,last15_fatigue,scored_after
G,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
D,0,2,5,68.15,6.806,7.46,0,0,0,0,2,5,68.15,6.806,7.46,0,0,0,0,0.0,0.0,0.5,0.5,16.115202256997613,16.115202256997613,16.565102068965516,16.565102068965516,0.23955317525618966,0.9855386840202458,0
D,0,2,4,68.49,7.165,7.87,0,0,0,0,2,4,68.49,7.165,7.87,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.84280235690236,28.84280235690236,0.41506407190822225,0.9856094402072241,0
D,0,1,5,80.36,6.873,8.95,0,0,0,0,1,5,80.36,6.873,8.95,0,0,0,0,0.0,0.0,1.0,1.0,-23.1555292307652,-23.1555292307652,25.375646153846155,25.375646153846155,0.31189338930489374,0.987708947885939,0
A,0,4,15,183.3,6.533,7.68,0,0,0,0,4,15,183.3,6.533,7.68,0,0,0,0,0.0,0.0,0.25,0.25,-36.15409465585366,-36.15409465585366,45.981952335115864,45.981952335115864,0.2494951293278126,0.9945740640260445,0
M,0,4,9,138.44,6.866,8.45,0,0,0,0,4,9,138.44,6.866,8.45,0,0,0,0,0.0,0.0,0.25,0.25,-0.5988724005967849,-0.5988724005967849,63.67669859966969,63.67669859966969,0.4566602022351527,0.9928284566838784,1
M,0,0,8,153.41,6.522,7.13,0,0,0,0,0,8,153.41,6.522,7.13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9935237355093582,0
M,0,4,10,249.47,7.041,9.88,0,0,0,0,4,10,249.47,7.041,9.88,0,0,0,0,0.0,0.0,0.5,0.5,9.18037209130572,9.18037209130572,104.63699689940123,104.63699689940123,0.4177625939210334,0.9960075058889288,0
M,0,2,10,159.45,6.725,7.79,0,0,0,0,2,10,159.45,6.725,7.79,0,0,0,0,0.0,0.0,0.3333333333333333,0.3333333333333333,68.7941655393476,68.7941655393476,40.47619024390244,40.47619024390244,0.2522666889616855,0.9937675288251792,0
D,0,2,9,103.61,6.639,7.77,0,0,0,0,2,9,103.61,6.639,7.77,0,0,0,0,1.0,1.0,0.3333333333333333,0.3333333333333333,-15.839223718574582,-15.839223718574582,24.136555555555557,24.136555555555557,0.23072895091822537,0.9904406844469936,1
M,0,1,8,123.71,6.551,8.67,0,0,0,0,1,8,123.71,6.551,8.67,0,0,0,0,1.0,1.0,0.6666666666666666,0.6666666666666666,38.184629486939926,38.184629486939926,23.67212432432433,23.67212432432433,0.1898173708950712,0.9919813968406703,0
G,0,0,1,8.4,12.02,12.02,0,0,0,0,0,1,8.4,12.02,12.02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8936170212765957,0
D,0,5,11,233.68,7.098,9.48,0,0,0,0,5,11,233.68,7.098,9.48,0,0,0,0,1.0,1.0,1.0,1.0,4.162715358158152,4.162715358158152,120.93408693923878,120.93408693923878,0.5153148412273683,0.9957388784728141,1
D,0,1,7,102.21,6.656,8.62,0,0,0,0,1,7,102.21,6.656,8.62,0,0,0,0,0.0,0.0,0.875,0.875,-37.448051950378684,-37.448051950378684,20.630214492753627,20.630214492753627,0.1998858104132703,0.9903110163743823,0
D,0,1,9,124.69,6.368,7.4,0,0,0,0,1,9,124.69,6.368,7.4,0,0,0,0,0.0,0.0,1.0,1.0,31.88226412155848,31.88226412155848,8.43204,8.43204,0.06708600525101441,0.9920439175749861,1
M,0,2,7,97.71,6.733,8.03,0,0,0,0,2,7,97.71,6.733,8.03,0,0,0,0,4.0,4.0,0.6666666666666666,0.6666666666666666,-14.861772323815867,-14.861772323815867,33.048918724559016,33.048918724559016,0.3348082131958162,0.9898693141525682,0
M,0,2,6,95.66,6.79,7.9,1,1,0,1,2,6,95.66,6.79,7.9,1,1,0,1,4.0,4.0,0.2857142857142857,0.2857142857142857,-32.971768334872166,-32.971768334872166,24.985934448160535,24.985934448160535,0.2584930110506987,0.9896544589282019,0
M,0,1,3,41.66,6.672,8.28,0,0,0,0,1,3,41.66,6.672,8.28,0,0,0,0,3.0,3.0,0.7142857142857143,0.7142857142857143,-18.78430689908071,-18.78430689908071,21.283014492753622,21.283014492753622,0.49889860508095696,0.976558837318331,0
A,0,2,4,65.97,6.848,7.38,0,0,0,0,2,4,65.97,6.848,7.38,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.601194871794872,15.601194871794872,0.2329579643391798,0.9850679408690458,1
M,0,0,16,184.75,6.125,6.62,0,0,0,0,0,16,184.75,6.125,6.62,0,0,0,0,4.0,4.0,0.4,0.4,8.656563970919654,8.656563970919654,0.0,0.0,0.0,0.9946164199192463,0
M,0,4,6,131.27,7.231,8.32,0,0,0,0,4,6,131.27,7.231,8.32,0,0,0,0,1.0,1.0,0.3333333333333333,0.3333333333333333,41.38505371581393,41.38505371581393,62.02910023653905,62.02910023653905,0.4689581933661378,0.9924397066606184,0
D,0,4,7,161.91,7.055,8.92,0,0,0,0,4,7,161.91,7.055,8.92,0,0,0,0,3.0,3.0,0.4,0.4,-61.0181329987337,-61.0181329987337,90.83070237008263,90.83070237008263,0.5575514233017165,0.9938616413970904,0
G,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
D,0,0,3,38.78,5.973,6.05,0,0,0,0,2,8,106.93,6.556,7.46,0,0,0,0,1.0,1.0,0.6666666666666666,0.5714285714285714,64.86714391049324,40.49117308374542,0.0,16.565102068965516,0.0,0.359306958213657,0
D,0,0,6,66.68,6.578,7.43,0,0,0,0,2,10,135.16,6.872,7.87,0,0,0,0,1.0,1.0,0.6666666666666666,0.6666666666666666,-49.92637378809049,-49.92637378809049,0.0,28.84280235690236,0.0,0.48971797884841367,0
D,0,0,5,70.46,6.312,7.14,0,0,0,0,1,10,150.82,6.618,8.95,0,0,0,0,0.0,0.0,1.0,1.0,0.0,-23.1555292307652,0.0,25.375646153846155,0.0,0.46410222632064285,0
A,0,3,6,94.9,6.867,8.25,0,0,0,0,7,21,278.2,6.64,8.25,0,0,0,0,0.0,0.0,0.0,0.25,0.0,-36.15409465585366,33.88230453653654,79.8642568716524,0.35330870215366567,0.3398997134670487,0
M,0,1,6,75.07,6.363,8.01,0,0,0,0,5,15,213.52,6.69,8.45,0,0,0,0,1.0,1.0,0.6666666666666666,0.42857142857142855,-44.710078056861164,-30.006342838106374,15.345490196078432,79.02218879574812,0.20172854208069452,0.3499440611597986,1
M,0,2,9,127.88,6.723,7.51,0,0,0,0,2,17,281.29,6.638,7.51,0,0,0,0,3.0,3.0,0.5,0.5,62.81495706407442,62.81495706407442,21.837734417344173,21.837734417344173,0.16944238374723908,0.45300931666017213,0
M,0,5,10,141.64,6.776,7.8,0,0,0,0,9,20,391.11,6.904,9.88,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,9.18037209130572,50.338644792792785,154.97564169219402,0.35290693208632073,0.3612251664073856,0
M,0,1,6,96.8,6.514,8.44,2,1,2,2,3,16,256.25,6.647,8.44,2,1,2,2,1.0,1.0,0.5,0.4,78.27716282174097,73.53566418054429,22.021645714285714,62.49783595818815,0.22517020157756354,0.376287657920311,0
D,0,1,9,132.2,6.372,8.24,1,1,0,1,3,18,235.81,6.512,8.24,1,1,0,1,1.0,2.0,0.3333333333333333,0.3333333333333333,7.6341113345711324,-4.102556192001725,22.37131111111111,46.507866666666665,0.16795278611945277,0.5582534521346226,1
M,0,0,5,67.2,6.31,7.0,0,0,0,0,1,13,190.91,6.465,8.67,0,0,0,0,0.0,0.0,0.8,0.75,-48.68419789569586,-13.936666942641546,0.0,23.67212432432433,0.0,0.3501641394403627,0
G,0,0,1,11.41,6.79,6.79,0,0,0,0,0,2,19.81,9.405,12.02,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5482940893801057,0
D,0,3,3,85.01,7.358,8.36,1,1,1,1,8,14,318.69,7.169,9.48,1,1,1,1,3.0,4.0,1.0,1.0,39.51072273674825,18.301918309594193,60.82605222434736,181.76013916358613,0.7071974447662754,0.2659138540461072,0
D,0,1,2,32.55,6.687,8.24,0,0,0,0,2,9,134.76,6.665,8.62,0,0,0,0,1.0,1.0,0.6666666666666666,0.7857142857142857,-26.11525240729358,-33.32703393471137,14.071695652173908,34.70191014492754,0.4194246096027991,0.23976134354743664,0
D,0,2,4,56.29,6.645,8.03,1,0,1,1,3,13,180.98,6.472,8.03,1,0,1,1,1.0,1.0,1.0,1.0,89.14248274949581,60.512373435527145,19.350035294117646,27.782075294117647,0.33775589621430696,0.3093197054621387,1
M,0,1,3,46.36,6.332,7.54,0,0,0,0,3,10,144.07,6.61,8.03,0,0,0,0,2.0,6.0,0.625,0.6428571428571429,-37.796189665283904,-27.603115291298113,10.01542857142857,43.06434729598759,0.21147442084942084,0.3195698628248432,0
M,0,1,3,55.05,7.035,9.29,0,0,0,0,3,9,150.7,6.872,9.29,1,1,0,1,2.0,6.0,0.8,0.5,-21.673433659019338,-25.439545217636947,20.03994,45.025874448160536,0.3575368421052632,0.36288727752142386,0
M,0,1,4,69.88,6.56,8.42,1,0,1,1,2,7,111.54,6.61,8.42,1,0,1,1,4.0,7.0,0.6666666666666666,0.6875,16.747173303854208,0.5965004843383368,19.070163934426237,40.353178427179856,0.26904858823964783,0.6209347787453349,0
A,0,5,10,176.71,7.009,8.16,1,1,1,1,7,14,242.69,6.963,8.16,1,1,1,1,2.0,2.0,0.3333333333333333,0.2857142857142857,-32.730865883250345,-32.730865883250345,61.38124459560469,76.98243946739956,0.34540118505207745,0.7251425992039067,0
M,0,1,6,75.74,6.556,7.24,0,0,0,0,1,22,260.49,6.256,7.24,0,0,0,0,3.0,7.0,0.6,0.5,-0.48828706232641633,3.1696533509720117,17.210360655737706,17.210360655737706,0.22426844742947233,0.28964778767830507,0
M,0,1,5,93.86,6.568,7.44,0,0,0,0,5,11,225.13,6.982,8.32,0,0,0,0,4.0,5.0,1.0,0.5,-0.5852359408096479,20.399908887502143,10.210277777777776,72.23937801431683,0.10763522852390656,0.41507097687171096,0
D,0,3,4,73.14,7.144,7.41,0,0,0,0,7,11,235.06,7.09,8.92,0,0,0,0,1.0,4.0,1.0,0.5714285714285714,-33.09143438061942,-42.40033391999085,26.993781447381444,117.82448381746408,0.36409200765283845,0.3098364822502754,0
G,0,1,1,19.05,8.645,10.29,0,0,0,0,1,1,19.05,8.645,10.29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.93474,12.93474,0.6451241895261846,0.9501246882793017,0
D,0,2,4,65.77,6.867,7.69,0,0,0,0,4,12,172.69,6.673,7.69,0,0,0,0,1.0,2.0,0.6666666666666666,0.6,62.3908831004683,47.79107642265305,24.140020238095236,40.70512230706075,0.3615399167005427,0.37866313547124186,0
D,0,2,4,104.57,7.047,8.53,0,0,0,0,4,14,239.74,6.93,8.53,0,0,0,0,2.0,3.0,1.0,0.75,-63.99694158273061,-54.61656305297053,30.271359408866985,59.114161765769346,0.28674206127561797,0.43436902882778095,0
D,0,1,4,84.2,7.048,9.24,0,0,0,0,2,14,235.02,6.752,9.24,0,0,0,0,2.0,2.0,0.4,0.5,-29.65181149207781,-28.352555039815293,20.334688524590163,45.71033467843632,0.23867005310551834,0.35674942801457504,0
A,0,1,5,80.4,6.58,7.5,0,0,0,0,8,26,358.61,6.629,8.25,0,0,0,0,0.0,0.0,0.5,0.375,-15.412830975564637,-22.32658553566098,9.67598823529412,89.54024510694651,0.1188696343402226,0.2235755401685159,0
M,0,1,8,123.75,6.59,7.22,1,1,1,1,6,23,337.26,6.659,8.45,1,1,1,1,1.0,2.0,0.42857142857142855,0.42857142857142855,13.106060642061392,-8.45014109802249,5.965909090909093,84.98809788665721,0.047822918564401545,0.36584284278365753,1
M,0,1,4,65.76,6.8,9.09,0,0,0,0,3,21,347.05,6.672,9.09,0,0,0,0,0.0,0.0,0.4,0.42857142857142855,-66.71560406381224,-23.538750354516683,23.65325555555556,45.49098997289973,0.3543028094001731,0.18893837092371787,0
